TextName,Length,SWD,WindowDensity,Genre,AuthorLastname,AuthorGender,Title,Date,AnnotationType
32Austen1811_pre,115443,1.654.496,2.551.731.041,Other,"Austen, Jane",Female,Sense and Sensibility,1811,automated
111Braddon1862_pre,139048,391.951,4.210.837.562,Gothic,"Braddon, Mary Elizabeth",Female,Lady Audley's Secret,1862,automated
131Bronte1847_for_dic23.01,198914,3.026.434,4.079.372.285,Gothic,"Brontë, Charlotte",Female,Jane Eyre,1847,dictionary_based
141Bronte1847_for_dic23.01,127044,2.762.822,3.599.055.975,Gothic,"Brontë, Emily",Female,Wuthering Heights,1847,dictionary_based
181Byron1819_anno_20.01,2017,495.786,1,Gothic,"Byron, Lord George",Male,Fragment of a novel,1819,manual
231Chesney1871_pre,21600,4.212.963,4.811.325.819,Other,"Chesney, George Tomkyns",Male,The Battle of Dorking,1871,automated
271Collins1868_pre,192430,1.766.876,2.428.876.589,Gothic,"Collins, Wilkie",Male,The Moonstone,1868,automated
272Collins1859_pre,241558,2.521.134,360.506.694,Gothic,"Collins, Wilkie",Male,The Woman in White,1859,automated
311Corelli1895_pre,152885,5.468.162,5.792.459.777,Gothic,"Corelli, Marie",Female,The Sorrows of Satan,1895,automated
211Craik1857_pre,170315,450.342,4.707.111.785,Other,"Craik, Dinah",Female,"John Halifax, Gentleman",1857,automated
331Crookenden1802_20.01.,7854,2.037.179,3.030.365.203,Gothic,Crookenden,Male,The Vindictive Monk,1802,manual
341Dacre1806_pre,98572,2.870.998,3.589.586.882,Gothic,"Dacre, Charlotte",Female,Zofloya or The Moor,1806,automated
221Dickens1833_pre,261390,3.756.838,4.322.479.468,Other,"Dickens, Charles",Male,Sketches by Boz,1833,automated
361Dickens1853_pre,348079,2.637.332,3.147.850.596,Gothic,"Dickens, Charles",Male,Bleak House,1853,automated
Dickens_Christmas_20.01,29336,6.613.035,7.266.843.301,Gothic,"Dickens, Charles",Male,A Christmas Carroll,1843,manual
ConanD_Brazilian_20.01,8187,7.939.416,9.761.324.304,Gothic,"Doyle, Arthur Conan",Male,The Brazilian Cat,1898,manual
Doyle_20_01.,62830,1.989.495,4.061.445.079,Gothic,"Doyle, Arthur Conan",Male,The Hound of the Baskervilles,1902,manual
Doyle_How_it_20.01.,1454,7.565.337,9.145.695.364,Other,"Doyle, Arthur Conan",Male,How it Happened,1913,manual
251Edgeworth1809_pre,74260,1.831.403,2.510.181.896,Other,"Edgeworth, Maria",Female,Ennui or Memoirs of the Earl of Glenthorn,1809,automated
261Eliot1874_pre,310572,1.645.351,2.434.043.283,Other,"Eliot, George",Female,Middlemarch,1874,automated
381Inchbald1791_pre,94981,1.758.246,232.875.748,Other,"Inchbald, Elizabeth",Female,A simple Story,1791,automated
391James1875_pre,123682,2.708.559,3.242.229.106,Other,"James, Henry",Male,Roderick Hudson,1875,automated
392James1903_pre,158088,2.176.003,2.622.038.883,Other,"James, Henry",Male,The Ambassadors,1903,automated
395James1902_pre,174362,1.451.004,2.109.438.449,Gothic,"James, Henry",Male,The Wings of the Dove,1902,automated
731James1908_pre,13707,2.772.306,3.206.445.916,Gothic,"James, Henry",Male,The Jolly Corner,1908,automated
732James1898_pre,39806,3.316.083,3.609.366.011,Gothic,"James, Henry",Male,The Turn of the Screw,1898,automated
742James1904_pre,4429,225.785,1,Gothic,"James, Montague Rhodes",Male,The Mezzotint,1904,automated
741JamesMR1895_20.01,4768,4.194.631,6.655.749.636,Gothic,"James, Montague Rhodes",Male,Canon Alberic's Scrap-Book,1895,manual
801Kipling1888_pre,14365,3.271.841,4.322.367.801,Other,"Kipling, Rudyard",Male,The Man who would be King,1888,automated
802Kipling1890_for_dic22.01,5050,7.326.733,7.780.439.615,Gothic,"Kipling, Rudyard",Male,The Mark of the Beast,1890,dictionary_based
Lewis_Anaconda_20.01,19045,3.938.041,5.223.248.431,Gothic,"Lewis, Matthew Gregory",Male,The Anaconda,1808,manual
881Machen1894_pre,21142,4.919.118,5.275.214.221,Other,"Machen, Arthur",Male,The White People,1894,automated
882Machen1904_pre,16861,4.210.901,5.272.329.377,Gothic,"Machen, Arthur",Male,The Great God Pan,1904,automated
531Meredith1879_pre,184462,1.886.567,2.451.118.206,Other,"Meredith, George",Male,The Egoist,1879,automated
551Mitford1854_pre,129605,3.757.571,4.523.248.035,Other,"Mitford, Mary Russell",Female,Atherton and Other Tales,1854,automated
561More1814_pre,130606,811.601,1.920.992.125,Other,"More, Hannah",Female,Coelebs in Search of a Wife,1814,automated
571Morgan1806_pre,105227,227.128,324.071.089,Other,"Sydney, Lady Morgan",Female,The wild Irish Girl,1806,automated
1011Oliphant1881_for_dic22.01,18732,8.594.918,9.863.653.069,Other,"Oliphant, Margaret",Female,The Open Door,1881,dictionary_based
601Pater1885_pre,104929,2.973.439,3.657.528.265,Other,"Pater, Walter",Male,Marius the Epicurean,1885,automated
1091Polidori1819_pre,45092,44.132,466.660.323,Other,"Polidori, John William",Male,Ernestus Berchtold,1819,automated
1092Polidori1819_24_01_pre,13311,3.230.411,4.954.716.096,Gothic,"Polidori, John William",Male,The Vampyre,1819,automated
Potter_Rabbit_anno_20.01,988,10.121.457,10,Other,"Potter, Beatrix",Female,Peter Rabbit,1893,manual
1161Rymer1847_pre,320131,3.789.074,4.798.860.258,Gothic,"Rymer, James Malcolm",Male,Varney the Vampire,1847,automated
1222Shelley1819-1820_pre,33170,3.135.363,4.225.278.537,Gothic,"Shelley, Mary",Female,Mathilda,1820,automated
1231Shelley1810_for_dic24.01,31454,7.280.473,7.642.474.576,Gothic,"Shelley, Percy Bysshe",Male,Zastrozzi,1810,dictionary_based
Shelley_31_12_20.01.,75298,3.373.264,521.707.192,Gothic,"Shelley, Mary",Female,Frankenstein,1818,manual
1311Stoker1897_pre,159432,4.127.151,4.746.918.319,Gothic,"Stoker, Bram",Male,Dracula,1897,automated
Trollope1875_pre,333156,963.513,1.998.190.366,Other,"Trollope, Frances",Male,The Way we live now,1875,automated
1391Wells1897_for_dic22.01,50357,7.645.412,7.865.047.427,Other,"Wells, Herbert George",Male,The Invisible Man,1897,dictionary_based
1392Wells1896_pre,42323,8.529.641,8.794.969.661,Gothic,"Wells, Herbert George",Male,The Island of Doctor Moreau,1896,automated
1393Wells1898_pre,58970,891.979,9.329.583.058,Other,"Wells, Herbert George",Male,The War of the Worlds,1898,automated
1401Wilde1891_for_dic22.01,80803,3.564.224,4.382.110.515,Gothic,"Wilde, Oscar",Male,The Picture of Dorian Gray,1891,dictionary_based
1411Wood1861_pre,202620,2.852.631,3.426.289.293,Other,"Wood, Ellen",Female,East Lynne,1861,automated
Yonge_The_Heir_pre,228857,2.936.331,3.410.932.871,Other,"Yonge, Charlotte Mary",Female,The Heir of Redclyffe,1853,manual
Gaskell_20.01.,9805,6.7,-,Gothic,"Gaskell, Elizabeth Cleghorn",Female,The Old Nurse's Story,1852,manual